,name_of_centre,location_of_centre,type_of_centre,lon,lat
59,Blk 453A Ang Mo Kio Ave 10,"Blk 453A, Ang Mo Kio Ave 10, S(561453)",MHC,103.8565177,1.3681603
60,Blk 49 Sims Place,"Blk 49, Sims Place, S(380049)",MHC,103.8793293,1.3170535
61,Blk 4A Eunos Crescent,"Blk 4A, Eunos Crescent, S(402004)",MHC,103.903711,1.320065
62,Blk 4A Jalan Batu,"Blk 4A, Jalan Batu, S(432004)",MHC,103.883923,1.302428
63,Blk 4A Woodlands Centre Road,"Blk 4A, Woodlands Centre Road, S(731004)",HC,103.7701029,1.441109
64,Blk 503 West Coast Drive,"Blk 503, West Coast Drive, S(120503)",HC,103.7597825,1.3118695
65,Blk 505 Jurong West Street 52,"Blk 505, Jurong West Street 52, S(640505)",MHC,103.7185122,1.3497487
66,Blk 50A Marine Terrace,"Blk 50A, Marine Terrace, S(441050)",MHC,103.9156908,1.3056956
67,Blk 51 Old Airport Road,"Blk 51, Old Airport Road, S(390051)",MHC,103.8858505,1.308232
68,Blk 511 Bedok North Street 3,"Blk 511, Bedok North Street 3, S(460511)",MHC,103.9303677,1.3331595
69,Blk 527 Ang Mo Kio Ave 10,"Blk 527, Ang Mo Kio Ave 10, S(560527)",MHC,103.8543059,1.3727609
70,Blk 538 Bedok North Street 3,"Blk 538, Bedok North Street 3, S(460538)",MHC,103.924861,1.331798
71,Blk 58 New Upper Changi Road,"Blk 58, New Upper Changi Road, S(461058)",MHC,103.9411354,1.3241682
72,Blk 6 Tanjong Pagar Plaza,"Blk 6, Tanjong Pagar Plaza, S(081006)",MHC,103.8430867,1.2765144
73,Blk 628 Ang Mo Kio Ave 4,"Blk 628, Ang Mo Kio Ave 4, S(560628)",MHC,103.8407372,1.380976
74,Blk 630 Bedok Reservoir Road,"Blk 630, Bedok Reservoir Road, S(470630)",MHC,103.9126456,1.3324784
75,Blk 69 Geylang Bahru,"Blk 69, Geylang Bahru, S(330069)",MHC,103.8700885,1.3214913
76,Blk 7 Empress Road,"Blk 7, Empress Road, S(260007)",MHC,103.8057946,1.3164558
77,Blk 724 Ang Mo Kio Ave 6,"Blk 724, Ang Mo Kio Ave 6, S(560724)",MHC,103.846562,1.372185
78,Blk 726 Clementi West Street 2,"Blk 726, Clementi West Street 2, S(120726)",MHC,103.7642661,1.3037847
79,Blk 74 Toa Payoh Lorong 4,"Blk 74, Lorong 4 Toa Payoh, S(310074)",MHC,103.8519727,1.3344784
80,Blk 75 Toa Payoh Lorong 5,"Blk 75, Lorong 5 Toa Payoh, S(310075)",HC,103.8530114,1.3359699
81,Blk 79 Telok Blangah Drive,"Blk 79, Telok Blangah Drive, S(100079)",HC,103.807598,1.273301
82,Blk 80 Circuit Road,"Blk 80, Circuit Road, S(370080)",MHC,103.887077,1.3278701
83,Blk 84 Marine Parade Central,"Blk 84, Marine Parade Central, S(440084)",MHC,103.906415,1.3021262
84,Blk 85 Bedok North Street 4,"Blk 85, Bedok North Street 4, S(460085)",MHC,103.9389051,1.3317701
85,Blk 85 Redhill Lane,"Blk 85, Redhill Lane, S(150085)",HC,103.8182751,1.2874028
86,Blk 89 Circuit Road,"Blk 89, Circuit Road, S(370089)",MHC,103.8853684,1.3236522
87,Blk 90 Whampoa Drive,"Blk 90, Whampoa Drive, S(320090)",MHC,103.8550044,1.3230772
