,licence_num,licensee_name,building_name,block_house_num,level_num,unit_num,street_name,postal_code,lon,lat
75,NE04114A000,NTUC Fairprice Co-operative Ltd,TAMPINES CENTRAL COMMUNITY COMPLEX,866A,1,1,TAMPINES STREET 83,521866,103.934462,1.355507
76,NE04047K000,NTUC Fairprice Co-operative Ltd,na,138,1,136,TAMPINES STREET 11,521138,103.945439,1.345316
77,S02053J000,NTUC Fairprice Co-operative Ltd,na,107,1,353/9,TAMPINES STREET 11,521107,103.948082,1.348439
78,S02049A000,NTUC Fairprice Co-operative Ltd,na,745,1,3015,BEDOK RESERVOIR ROAD,470745,103.9222659,1.3374569
79,S02048B000,SHENG SIONG SUPERMARKET PTE LTD,MULTI STOREY CAR PARK,739A,1,1,BEDOK RESERVOIR ROAD,471739,103.923333,1.337922
80,E02032V000,SHENG SIONG SUPERMARKET PTE LTD,BEDOK NORTH AREA OFFICE,539A,1,477,BEDOK NORTH STREET 3,461539,103.925662,1.332698
81,S02028K000,NTUC Fairprice Co-operative Ltd,na,202,1,0,HOUGANG STREET 21,530202,103.883638,1.357437
82,NE15467C000,NTUC Fairprice Co-operative Ltd,MULTI STOREY CAR PARK,476,2,18,UPPER SERANGOON VIEW,530476,103.9038,1.377434
83,NE09263B000,NTUC Fairprice Co-operative Ltd,na,100,2,1,HOUGANG AVENUE 10,538767,103.894345,1.371673
84,S02026N000,NTUC Fairprice Co-operative Ltd,HOUGANG MALL,90,B1,7,HOUGANG AVENUE 10,538766,103.893938,1.372629
85,E02039E000,NTUC Fairprice Co-operative Ltd,na,152B,1,384,SERANGOON NORTH AVENUE 1,552152,103.873048,1.369306
86,NE10310X000,NTUC Fairprice Co-operative Ltd,MY VILLAGE,1,B1,41944,MAJU AVENUE,556679,103.865262,1.3652169
87,B02024E000,NTUC Fairprice Co-operative Ltd,888 PLAZA,888,1,757,WOODLANDS DRIVE 50,730888,103.79527,1.437703
88,B02034B000,NTUC Fairprice Co-operative Ltd,WOODGROVE,30,na,0,WOODLANDS AVENUE 1,739065,103.781141,1.428724
89,C02034X000,NTUC Fairprice Co-operative Ltd,CORONATION PLAZA,587,na,0,BUKIT TIMAH ROAD,269707,103.810236,1.323784
90,SW12M64L000,SHENG SIONG SUPERMARKET PTE LTD,na,25,1,11,GHIM MOH LINK,270025,103.786252,1.3081449
91,NW15709P000,NTUC Fairprice Co-operative Ltd,na,2,2,6,BUKIT PANJANG RING ROAD,679947,103.772384,1.377634
92,NW15186C000,SHENG SIONG SUPERMARKET PTE LTD,MULTI STOREY CAR PARK,547,1,6,SEGAR ROAD,670547,103.769948,1.387918
93,B03099C000,NTUC Fairprice Co-operative Ltd,na,628,1,1,SENJA ROAD,670628,103.760105,1.385118
94,B02020N000,NTUC Fairprice Co-operative Ltd,BUKIT PANJANG PLAZA,1,1,15,JELEBU ROAD,677743,103.7641529,1.379962
95,B02017C000,SHENG SIONG SUPERMARKET PTE LTD,na,301,1,217,WOODLANDS STREET 31,730301,103.77371,1.4316009
96,B02022K000,NTUC Fairprice Co-operative Ltd,MARSILING MRT STATION,71,1,1,WOODLANDS AVENUE 3,739044,103.774161,1.432563
97,B02040E000,SHENG SIONG SUPERMARKET PTE LTD,na,6A,1,280,WOODLANDS CENTRE ROAD,731006,103.770157,1.443089
98,NW04127A000,NTUC Fairprice Co-operative Ltd,WOODLANDS CIVIC CENTRE,900,B1,1,SOUTH WOODLANDS DRIVE,730900,103.787195,1.435152
99,NW13K05E000,NTUC Fairprice Co-operative Ltd,na,570B,1,6,WOODLANDS AVENUE 1,732570,103.790837,1.430924
100,NW11702X000,SHENG SIONG SUPERMARKET PTE LTD,INTERIM RECREATION PARK,200,1,30,WOODLANDS INDUSTRIAL PARK E7,757177,103.796915,1.451031
101,NW06546V000,NTUC Fairprice Co-operative Ltd,SEMBAWANG MART,511,2,3,CANBERRA ROAD,750511,103.819382,1.453736
102,B02038P000,SHENG SIONG SUPERMARKET PTE LTD,na,925,1,211,YISHUN CENTRAL 1,760925,103.83756,1.427567
103,B02093B000,NTUC Fairprice Co-operative Ltd,YISHUN MRT STATION,301,1,2,YISHUN AVENUE 2,769093,103.834998,1.429445
104,B85098V000,NTUC Fairprice Co-operative Ltd,na,239,1,1150,YISHUN RING ROAD,760239,103.839514,1.434031
105,SW09032C000,NTUC Fairprice Co-operative Ltd,YEW TEE POINT,21,B1,42552,CHOA CHU KANG NORTH 6,689578,103.746546,1.39729
106,SW15796X000,NTUC Fairprice Co-operative Ltd,LIMBANG SHOPPING CENTRE (HDB),533,1,11,CHOA CHU KANG STREET 51,680533,103.743131,1.392015
107,B02099L000,NTUC Fairprice Co-operative Ltd,na,849,1,3703,YISHUN RING ROAD,760849,103.835361,1.416781
108,B99041L000,NTUC Fairprice Co-operative Ltd,ORCHID COUNTRY CLUB,1,1,34,ORCHID CLUB ROAD,769162,103.843691,1.410939
109,B02008E000,SHENG SIONG SUPERMARKET PTE LTD,na,845,1,184,YISHUN STREET 81,760845,103.834937,1.41607
110,B02025C000,NTUC Fairprice Co-operative Ltd,na,414,1,1853,YISHUN RING ROAD,760414,103.846593,1.424554
111,NW07277P000,NTUC Fairprice Co-operative Ltd,na,355,1,1,SEMBAWANG WAY,750355,103.818602,1.449646
112,B02021L000,NTUC Fairprice Co-operative Ltd,SUN PLAZA,30,B1,42430,SEMBAWANG DRIVE,757713,103.8191873,1.4483845
113,SE04012L000,NTUC Fairprice Co-operative Ltd,JOO CHIAT COMPLEX,2,1,1139,JOO CHIAT ROAD,420002,103.89875,1.315589
